"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","30/923","160/9564",0.1875,1.94284940411701,3.93062794862036,0.000274817138250548,0.00639407874996276,NA,"CLDN19/CDH15/CD40LG/CD28/SELE/NCAM1/HLA-F/NRXN2/HLA-A/CNTN1/JAM2/CDH2/ITGA8/CDH3/PECAM1/ICOSLG/ITGB8/NEGR1/NTNG1/NRXN1/CNTN2/GLG1/NLGN3/NFASC/ITGAL/CD6/HLA-DQA1/CD226/NRXN3/NECTIN3",30
"Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","13/923","47/9564",0.276595744680851,2.86604734791729,4.19119125437274,0.000360986999541556,0.00787402892750019,NA,"IRS2/PIK3R3/KCNJ11/IRS1/MAPK3/GCK/ABCC8/ADIPOQ/MAPK10/CACNA1E/CACNA1A/IRS4/SLC2A4",13
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","55/923","362/9564",0.151933701657459,1.57431627589592,3.64066082665126,0.000419609949037731,0.00861434542436284,NA,"PSPN/ITGA10/BRCA1/G6PC1/CCND2/ITGA1/MAGI2/GNG4/ERBB3/EREG/ERBB2/AKT3/COL6A6/TNN/PIK3R3/GDNF/FLT3LG/ANGPT4/COMP/FGFR4/GHR/COL6A3/LAMA2/FGFR2/ANGPT1/IL7R/ITGA8/COL9A1/LPAR3/IL2RB/IRS1/ITGB8/PRKCA/FGF22/ITGB6/ERBB4/MAPK3/SPP1/SOS1/COL4A2/EFNA5/LPAR2/TNR/LAMA1/NTRK2/ITGA2B/RELN/COL4A4/CSF3R/IFNAR2/SGK2/ATF6B/FLT1/IGF1/LAMC3",55
"Organismal Systems","Sensory system","hsa04740","Olfactory transduction","65/923","454/9564",0.143171806167401,1.48352671092635,3.44988909696734,0.000689997549287893,0.0133782858167486,NA,"OR2A12/OR2H2/OR8D1/OR4K2/OR2G6/SLC24A4/OR3A2/OR2V2/OR6J1/OR10J1/OR10H5/OR51B5/OR2M3/OR1I1/OR4F17/OR7D4/OR6B1/OR1F1/OR7A17/OR2AT4/OR1D2/CAMK2A/PDE1C/OR5A1/OR5AS1/OR10G3/OR10A2/OR52A1/OR9H1P/OR8B8/SLC8A1/OR2M4/OR2T12/OR4Q3/OR52N1/OR14J1/CNGB1/OR4K17/OR56A1/OR7C1/OR6C4/OR8A1/OR10K1/OR5AU1/OR1A1/OR2A42/OR2V1/OR1M1/OR5AN1/OR2B11/OR2A5/OR51M1/OR2L2/OR6K3/OR7D2/OR10A3/OR4D9/OR9G1/OR5H1/OR3A3/OR2AG1/OR8D4/OR51L1/OR10H1/OR2T7",65
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","20/923","97/9564",0.206185567010309,2.13646669868537,3.67665025162173,0.000814024049838075,0.0149523364943941,NA,"PLCB4/GNG4/RYR2/ADCY1/GNAO1/GRIN2B/GRIN2C/GUCY1A1/CAMK2A/PRKCA/MAPK3/ADCY2/GRIN2A/GRIA2/GRIA3/GRIA1/KCNJ3/KCNJ6/PLCB1/NOS1",20
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","12/923","45/9564",0.266666666666667,2.76316359696641,3.87453091012041,0.00086494442641278,0.015093280240903,NA,"ABCB9/ABCB1/ABCA8/ABCG8/ABCA6/ABCB11/ABCC8/ABCA13/ABCC3/ABCA9/ABCB5/ABCC10",12
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","40/923","254/9564",0.15748031496063,1.63178952576757,3.33526514757904,0.00124804111419811,0.0207412547073877,NA,"PLCB4/ERBB3/ERBB2/RYR2/P2RX7/ADCY1/GDNF/MCOLN3/FGFR4/PLCE1/GRIN2B/FGFR2/GRIN2C/CD38/CAMK4/CAMK2A/PDE1C/PRKCA/FGF22/ERBB4/MYLK/PLCD4/ADRA1A/ADCY2/SLC8A1/GRIN2A/MYLK3/NTRK2/ASPH/CHRM3/AVPR1B/P2RX5/FLT1/CACNA1E/CACNA1A/CACNA1F/PLCB1/TBXA2R/NOS1/AVPR1A",40
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","11/923","41/9564",0.268292682926829,2.7800121554845,3.73287914993641,0.00133403112119624,0.0211625846044312,NA,"GABRD/GABRG3/GRIN2B/GRIN2C/GABRB2/GRIN2A/GRIA2/GRIA3/GRIA1/CACNA1A/GABRB3",11
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","10/923","37/9564",0.27027027027027,2.80050364557407,3.58618517023058,0.00206193001238754,0.0303989436669324,NA,"PLCB4/IL1B/KNG1/IDO2/FAS/SELE/IL10/PRKCA/APOL1/PLCB1",10
"Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","16/923","76/9564",0.210526315789474,2.18144494497348,3.37947215459884,0.00209047177079192,0.0303989436669324,NA,"PLCB4/ADCY1/ATP1A3/ATP1B4/KCNJ2/KCNJ16/SLC9A4/CAMK2A/PRKCA/MYLK/ADCY2/ATP1B2/MYLK3/SSTR2/CHRM3/PLCB1",16
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","22/923","122/9564",0.180327868852459,1.86853276024368,3.1553682219791,0.00286365136297117,0.0399765730270775,NA,"PLCB4/AKT3/SHC4/ADCY1/IRS2/PIK3R3/GHR/IRS1/PRKCA/MAPK3/SOS1/SSTR3/ADCY2/SSTR2/MAPK10/ATF6B/MAPK11/CACNA1F/MAP2K6/IRS4/PLCB1/IGF1",22
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","21/923","116/9564",0.181034482758621,1.87585459707849,3.1017514357577,0.00336219683379737,0.0451310267305877,NA,"PLCB4/GNG4/AKT3/ADCY1/PIK3R3/GNAO1/KCNJ2/CAMK4/KCNQ5/CAMK2A/PRKCA/MAPK3/ADCY2/CHRNB4/KCNJ3/CHRM3/KCNJ6/CACNA1A/CACNA1F/CHRNA3/PLCB1",21
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","34/923","219/9564",0.155251141552511,1.60869113522017,2.97814135458913,0.00354106645957743,0.0457715627552786,NA,"PLCB4/GNG4/ADCY1/SLC16A2/IRS2/PIK3R3/GHR/GNAO1/SMAD9/OPRM1/IAPP/MCHR2/IRS1/NPR3/OPRK1/SSTR3/ADRA1A/ADCY2/SLCO1C1/VIPR2/DIO2/SSTR2/ESR1/AVPR1B/ADIPOQ/MC2R/PRLHR/MPL/OPRD1/IRS4/PLCB1/NOS1/AVPR1A/IGF1",34
